ticker,company_name,strategy,signal_count,oos_signal_count,oos_signal_count_detected,classification,is_selected_strike_method,is_method_met_safety_target,neighbor_stable,benchmark_horizon,is_touch_pct,is_terminal_itm_pct,oos_touch_pct,oos_breach_pct,oos_terminal_itm_pct,oos_median_forward_return,oos_median_mae,oos_worst_mae,oos_avg_strike_distance_pct,avg_atr_dollars,avg_atr_pct,split_date
JPM,,Strategy1,107,36,36,Effective,OTM_10pct,True,False,25,0.23943661971830985,0.1267605633802817,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.011583216575549726,-0.04349553692324298,-0.1260672833920291,0.10000000000000002,1.255975974736131,0.021010492826261447,2012-09-07
JPM,,Strategy2,95,36,36,Effective,OTM_10pct,True,True,25,0.23728813559322035,0.11864406779661017,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.026854378642122256,-0.02505346795716612,-0.3755787307235551,0.10000000000000002,1.2785077467896884,0.022205426700911513,2012-09-07
KDP,,Strategy1,36,10,10,Insufficient Data,OTM_7pct,True,True,25,0.15384615384615385,0.11538461538461539,0.2,0.2,0.1,-0.0285398950801235,-0.059307097395392194,-0.26676092800203743,0.07000000000000005,0.7904166494097028,0.018711352168135728,2021-02-26
KDP,,Strategy2,50,17,18,Insufficient Data,OTM_5pct,True,False,25,0.34375,0.125,0.47058823529411764,0.4117647058823529,0.29411764705882354,-0.018181800448205276,-0.037553332504192904,-0.1929720397928113,0.05000000000000007,0.8068142400469097,0.019475014787350454,2021-02-26
KEY,,Strategy1,86,26,26,Neutral,OTM_10pct,True,False,25,0.2,0.08333333333333333,0.19230769230769232,0.19230769230769232,0.038461538461538464,-0.0012356408319403878,-0.0499523075085066,-0.1499785003207329,0.09999999999999996,0.41566537147344546,0.023523444563292074,2014-12-30
KEY,,Strategy2,96,22,23,Effective,OTM_7pct,True,True,25,0.3424657534246575,0.1232876712328767,0.2727272727272727,0.22727272727272727,0.13636363636363635,0.054097257836544066,-0.05339790253473925,-0.20561686417545,0.07000000000000006,0.3806670247798873,0.022820900864457937,2014-12-30
KEYS,,Strategy1,30,8,8,Insufficient Data,OTM_10pct,True,False,25,0.22727272727272727,0.045454545454545456,0.375,0.25,0.0,-0.005018761373798086,-0.07167673222215826,-0.11674469646564245,0.09999999999999996,2.3219934599740166,0.02135195713103939,2023-02-03
KEYS,,Strategy2,21,7,7,Insufficient Data,ATR_2.5,True,True,25,0.21428571428571427,0.07142857142857142,0.5714285714285714,0.2857142857142857,0.0,0.04261253356558359,-0.07219868917429062,-0.10513207777491151,0.0531600298907533,2.5382688353661775,0.022621724826979002,2023-02-03
KHC,,Strategy1,16,3,3,Insufficient Data,OTM_5pct,True,True,25,0.3076923076923077,0.07692307692307693,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.0776598477103374,-0.10535851882705616,-0.12968796584792108,0.050000000000000024,0.8644688214574541,0.01767892840671159,2023-04-21
KHC,,Strategy2,21,5,5,Insufficient Data,OTM_10pct,True,True,25,0.1875,0.125,0.0,0.0,0.0,-0.020970625992815517,-0.0661577671261524,-0.09284093019741668,0.09999999999999995,1.0318537147677678,0.018751464093015275,2023-04-21
KIM,,Strategy1,69,23,23,Effective,ATR_3,True,True,25,0.2391304347826087,0.13043478260869565,0.21739130434782608,0.21739130434782608,0.0,0.015262516044494134,-0.05098762457562156,-0.0914387744066466,0.06409710189414801,0.41930900597424253,0.019240994131710865,2016-03-21
